Küsimustiku tutvustus:;Missugune tudengiorganisatsioon Sulle kõige paremini sobib? Vasta küsimustele ja saa teada!;;;;;;;;;;
;Valikute variandid:;AEGEE-Tartu;AIESEC Tartu;DD Akadeemia;ESN Tartu;Rahvusvaheliste Suhete Ring;TÜ Turundusklubi;TÜ Väitlusklubi;Vanem vend, vanem õde;Ülikooli Kultuuriklubi;Üliõpilaskonna sihtasutus
;Vastuseks kuvatav info:;AEGEE-Tartu on üliõpilasorganisatsioonide maastikul unikaalne nähtus, mille sarnast Tartus ei leia. Tegemist on nimelt mittetulundusühinguga, mille liikmeteks võivad olla ja saada kõikide erialade üliõpilased. Tartus muudab AEGEE elu põnevaks oma üritustega erinevatel teemadel nagu Euroopa kultuurid, keeled, tervislikud eluviisid jne.;AIESEC on maailma suurim rahvusvaheline tudengiorganisatioon, mille eesmärgiks on anda noortele reaalset juhtimiskogemust. AIESEC võimaldab sul omandada praktilisi oskuseid ja teadmisi ja neid kohe ka kasutama hakata. Selleks on meil kolm erinevat viisi – välismaal töötamine, vabatahtlikuks olemine ja meeskonnaliikmekogemus.;DD Akadeemia on programm, mis tegutseb selle nimel, et oleks võimalikult palju noori, kes peavad oluliseks ühiskonna arendamist. Anname selleks kaasa vajalikud teadmised ja kogemused. Praktiliste projektide kaudu omandatakse oskused igapäevaseks eluks, erialaseks tööks ja avastatakse oma tugevused.;ESN Tartu (Erasmus Student Network Tartu) on mittetulundusühing, mis tegeleberinevates kõrgkoolides õppivate välistudengite integreerimisega Eesti ühiskonda. Tegutseme igapäevaselt selle nimel, et välismaalt tulnud üliõpilastel oleks Tartus hea ja huvitav olla ning et nad kogeksid maksimaalselt selle linna erinevaid tahke.;Rahvusvaheliste Suhete Ring (RSR) on Tartu Ülikoolis tegutsev organisatsioon, mis ühendab rahvusvaheliste suhete vastu huvi tundvaid tudengeid. Oma struktuurilt jaguneb ring kaheks: väikeseks ja suureks ringiks.;Tartu Ülikooli Tudengite Turundusklubi sai alguse 2009. aasta detsembris. Klubi koondab toredaid ja ettevõtlikke turundushuvilisi tudengeid, kes soovivad kas juba omandatud või omandatavaid turundusteadmisi praktikas rakendada. Turundusklubi kokkusaamistel arutatakse käimasolevate projektide edenemist, pannakse paika uued tööd ja ülesanded. Turundusklubi suurkohtumistele kutsume külla ka praktikuid, kes räägivad oma tegemistest ja kogemustest turundusmaailmas.;Tartu Ülikooli Väitlusklubi viib kokku Tartu aktiivsed noored, kes soovivad rääkida maailmas olulisest teemadest ning rääkida nendest hästi. Hästi ehk nii, et oleks julgus öelda seda, mida mõeldakse, ning et teised öeldust õigesti aru saaksid. Selleks õpetamegi väitlusklubis kolme salarelva kasutamist: analüüsimis-, argumenteerimis- ning avaliku kõnelemise oskust.;MTÜ Vanem Vend, Vanem Õde eesmärkideks on toetada ühiskonnas tuge ja eeskuju vajavaid lapsi, et ennetada nende riskigruppi sattumist ning pakkuda lastele tervet eeskuju, millele nad tuleviku valikuid tehes tugineda saaksid.;Ülikooli Kultuuriklubi on umbes 30 aktiivliikmest koosnev organisatsioon, mis korraldab Tartu Tudengipäevi. Aktiivliikmed on peamiselt Tartu kõrgkoolide üliõpilased. Tartu Tudengipäevad on Eesti ja Tartu suurim tudengifestival. Festivali korraldamise kaudu pakub Kultuuriklubi noortele ürituse korraldamise ja meeskonnas töötamise kogemust.;Üliõpilaskonna SA loob kogu OLE ROHKEM vaimu Tartus. Ootame vabatahtlikke, kellel on juba kogemus mõne noorteorganisatsiooni juures. Meie juures saab töötada tudengiorganisatsioonide strateegilise toetamisega või aidata kaasa parema erialaseltside võrgustiku loomisele. Viime läbi organisatsioonide tegevus- ja arenguprogrammi, mille juures saab korraldada konverentse ja seminare ning koordineerida noorte juhtide mentorlussüsteemi.
Kas Sa tahad tutvuda teiste kultuuridega?;jah, ei;jah;ei;ei;ei;ei;ei;ei;ei;ei;ei
Kas Sa tahad osaleda rahvusvahelistel üritustel (nt. konverentsid)?;jah, ei;jah;jah;ei;jah;ei;ei;ei;ei;ei;ei
Kas Sulle meeldib reisida?;jah, ei;jah;ei;ei;jah;jah;ei;ei;ei;ei;ei
Kas Sa tahad osaleda arendavatel koolitustel ja seminaridel?;jah, ei;jah;jah;jah;jah;ei;ei;ei;ei;ei;ei
Kas Sa tahad tegeleda ürituste organiseerimise ja korraldamisega?;jah, ei;jah;ei;jah;jah;jah;ei;ei;jah;jah;jah
Kas Sa tahad töötada meeskonnas ja arendada oma meeskonnatöö oskusi?;jah, ei;jah;jah;jah;ei;ei;jah;ei;jah;jah;ei
Kas Sa tahad saada meeskonna juhiks ning praktiseerida meeskonnajuhtimist?;jah, ei;jah;jah;ei;ei;ei;ei;ei;ei;ei;ei
Kas Sa tahaksid tutvuda personalitöö murede ja rõõmudega?;jah, ei;jah;jah;ei;ei;ei;ei;ei;ei;ei;ei
Kas Sa tahaksid tegeleda turunduse ja suhtekorraldusega (PR)?;jah, ei;jah;jah;jah;ei;ei;jah;ei;jah;jah;ei
Kas avalik esinemine on midagi, mida Sa tahaksid hästi teha ning tublisti praktiseerida?;jah, ei;ei;ei;jah;ei;jah;ei;jah;ei;ei;ei
Kas Sa tahaksid rääkida raadios või kirjutada lehes?;jah, ei;ei;ei;ei;ei;jah;ei;ei;ei;ei;ei
Kas Sa tahad katsetada või tegeleda müügitööga?;jah, ei;ei;jah;ei;ei;ei;ei;ei;ei;ei;ei
Kas Sa tahad tegeleda raha ning sponsorite leidmisega?;jah, ei;jah;ei;ei;ei;ei;ei;ei;jah;jah;ei
Kas Sulle meeldiks tükike oma suvest veeta suveülikoolis?;jah, ei;jah;ei;ei;ei;ei;ei;ei;ei;ei;ei
Kas Sa tahad saada juhtimiskogemust?;jah, ei;ei;jah;ei;ei;ei;ei;ei;ei;ei;ei
Kas Sa tahad saada rahvusvahelist töökogemust?;jah, ei;ei;jah;ei;ei;ei;ei;ei;ei;ei;ei
Kas Sa tahad tegeleda projektitöö ja projektide juhtimisega?;jah, ei;ei;jah;jah;ei;ei;jah;ei;jah;jah;ei
Kas Sa tahaksid tegeleda ühiskonna arendamisega?;jah, ei;ei;ei;jah;ei;ei;ei;ei;jah;ei;jah
Kas Sa tahaksid tegeleda ettevõtlusega?;jah, ei;ei;ei;jah;ei;ei;jah;ei;ei;ei;ei
Kas Sa tahaksid tegeleda heategevuse ja teiste aitamisega?;jah, ei;ei;ei;ei;jah;ei;ei;ei;jah;ei;jah
Kas Sa tahaksid külastada ning tutvuda erinevate firmade ja organisatsioonidega?;jah, ei;ei;ei;ei;ei;jah;ei;ei;ei;ei;ei
Kas Sa tahaksid tegeleda välispoliitikaga?;jah, ei;ei;ei;ei;ei;jah;ei;jah;ei;ei;ei
Kas Sa tahaksid osaleda erinevates aruteludes ja diskussioonides?;jah, ei;ei;ei;jah;ei;jah;ei;jah;ei;ei;ei
Kas Sa tahaksid korraldada Tartu tudengipäevi?;jah, ei;ei;ei;ei;ei;ei;ei;ei;ei;jah;ei
